review_id,text,aspect,polarity,from,to,domain
193,The food is great and reasonably priced.,priced,positive,33,39,restaurant
1293,"Their calzones are horrific, bad, vomit-inducing, YUCK.",calzones,negative,6,14,restaurant
2105,"A few tips: skip the turnip cake, roast pork buns and egg custards.",turnip cake,negative,21,32,restaurant
2105,"A few tips: skip the turnip cake, roast pork buns and egg custards.",roast pork buns,negative,34,49,restaurant
2105,"A few tips: skip the turnip cake, roast pork buns and egg custards.",egg custards,negative,54,66,restaurant
2152,The bagels are fabulous.,bagels,positive,4,10,restaurant
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambiance,positive,10,18,restaurant
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",atmosphere,positive,23,33,restaurant
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",food,negative,50,54,restaurant
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,negative,59,66,restaurant
1124,"Our waitress was sweet and accomodating, not overbearing.",waitress,positive,4,12,restaurant
3020,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",fish,positive,33,37,restaurant
3020,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",rice,positive,45,49,restaurant
3020,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",seaweed,positive,57,64,restaurant
3170,"Good spreads, great beverage selections and bagels really tasty.",spreads,positive,5,12,restaurant
3170,"Good spreads, great beverage selections and bagels really tasty.",beverage selections,positive,20,39,restaurant
3170,"Good spreads, great beverage selections and bagels really tasty.",bagels,positive,44,50,restaurant
2171,The food options rule.,food options,positive,4,16,restaurant
2811,Consistently good Japanese Tapas.,Japanese Tapas,positive,18,32,restaurant
339,The sushi was awful!,sushi,negative,4,9,restaurant
776,The food was great.,food,positive,4,8,restaurant
924,With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,positive,50,54,restaurant
924,With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,positive,70,74,restaurant
1273,I love the fact that the pizza tastes so good and is so cheap.,pizza,positive,25,30,restaurant
179,"Service was prompt, friendly and great.",Service,positive,0,7,restaurant
109,"I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil.",lamb chop,positive,16,25,restaurant
109,"I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil.",salads,positive,52,58,restaurant
1057,Drawbacks: service is slow and they don't toast!,service,negative,11,18,restaurant
2451,The prices were fantastic.,prices,positive,4,10,restaurant
1548,"The food is terrible and overall, I would have to say avoid at all costs.",food,negative,4,8,restaurant
134,The food is prepared quickly and efficiently.,food,positive,4,8,restaurant
2708,"The food is fresh, delicious, and reasonably priced.",food,positive,4,8,restaurant
2708,"The food is fresh, delicious, and reasonably priced.",priced,positive,45,51,restaurant
3575,"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",waiter,neutral,68,74,restaurant
742,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,positive,4,22,restaurant
1471,"A large is $20, and toppings are about $3 each.",toppings,neutral,20,28,restaurant
1656,The spicy tuna and salmon are the best we've ever had.,spicy tuna,positive,4,14,restaurant
1656,The spicy tuna and salmon are the best we've ever had.,salmon,positive,19,25,restaurant
3681,"The food was very good, a great deal, and the place its self was great.",food,positive,4,8,restaurant
3681,"The food was very good, a great deal, and the place its self was great.",place,positive,46,51,restaurant
2205,The food is usually good but it certainly isn't a relaxing place to go.,food,positive,4,8,restaurant
2205,The food is usually good but it certainly isn't a relaxing place to go.,place,negative,59,64,restaurant
1159,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",dinner,neutral,6,12,restaurant
1159,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",dance floor,positive,41,52,restaurant
628,The server was really cool and served us our food and drinks with a smile.,server,positive,4,10,restaurant
628,The server was really cool and served us our food and drinks with a smile.,served,positive,31,37,restaurant
628,The server was really cool and served us our food and drinks with a smile.,food,neutral,45,49,restaurant
628,The server was really cool and served us our food and drinks with a smile.,drinks,neutral,54,60,restaurant
2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",dishes,positive,4,10,restaurant
2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",lamb sausages,positive,62,75,restaurant
2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",sardines with biscuits,positive,77,99,restaurant
2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",large whole shrimp,positive,101,119,restaurant
2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",pistachio ice cream,positive,135,154,restaurant
3188,Went there for an office lunch.,office lunch,neutral,18,30,restaurant
3041,"We've only eaten in the restaurant once, but we have ordered many times for dinner.",dinner,neutral,76,82,restaurant
2128,I liked the aluminum body.,aluminum body,positive,12,25,laptop
81,Lightweight and the screen is beautiful!,screen,positive,20,26,laptop
353,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",build quality,negative,9,22,laptop
353,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",performance,negative,30,41,laptop
655,It was truly a great computer costing less than one thousand bucks before tax.,costing,positive,30,37,laptop
2443,Boots up fast and runs great!,Boots up,positive,0,8,laptop
2443,Boots up fast and runs great!,runs,positive,18,22,laptop
764,"Call tech support, standard email the form and fax it back in to us.",tech support,neutral,5,17,laptop
1479,The service I received from Toshiba went above and beyond the call of duty.,service,positive,4,11,laptop
2937,I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,positive,41,55,laptop
2077,The screen shows great colors.,screen,positive,4,10,laptop
2756,"The battery life has not decreased since I bought it, so i'm thrilled with that.",battery life,positive,4,16,laptop
2863,The price and features more than met my needs.,price,positive,4,9,laptop
2863,The price and features more than met my needs.,features,positive,14,22,laptop
1393,the mouse buttons are hard to push.,mouse buttons,negative,4,17,laptop
36,This is the complete opposite to an ergonomic design.,design,negative,46,52,laptop
990,The technical service for dell is so 3rd world it might as well not even bother.,technical service,negative,4,21,laptop
2275,The built in camera is very useful when chatting with other techs in remote buildings on our campus.,built in camera,positive,4,19,laptop
214,Keyboard good sized and wasy to use.,Keyboard,positive,0,8,laptop
2777,Great wifi too.,wifi,positive,6,10,laptop
1733,Games being the main issue.,Games,negative,0,5,laptop
3064,The price is another driving influence that made me purchase this laptop.,price,positive,4,9,laptop
1646,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,price tag,negative,64,73,laptop
1646,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,software,positive,101,109,laptop
1646,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,updates,positive,170,177,laptop
2988,It's a great product for a great price!,price,positive,33,38,laptop
2828,Excellent speed for processing data.,speed,positive,10,15,laptop
1776,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,positive,30,42,laptop
1776,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,positive,74,83,laptop
2626,The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,positive,4,27,laptop
2626,The switchable graphic card is pretty sweet when you want gaming on the laptop.,gaming,neutral,58,64,laptop
2967,I would like at least a 4 hr. battery life.,battery life,neutral,30,42,laptop
2993,It has good speed and plenty of hard drive space.,speed,positive,12,17,laptop
2993,It has good speed and plenty of hard drive space.,hard drive space,positive,32,48,laptop
1037,"The driver updates don't fix the issue, very frustrating.",driver updates,negative,4,18,laptop
2451,Im glad that it has such great features in it.,features,positive,31,39,laptop
2871,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,performance,positive,98,109,laptop
1532,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,GarageBand,neutral,63,73,laptop
2238,and looks very sexyy:D really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,negative,128,133,laptop
2785,"Also, the extended warranty was a problem.",extended warranty,negative,10,27,laptop
832,"My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,negative,87,94,laptop
2130,I also liked the glass screen.,glass screen,positive,17,29,laptop
1446,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,negative,136,153,laptop
3047,"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff,negative,15,20,laptop
1732,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,programs,negative,74,82,laptop
1063,"Wireless has not been a issue for me, like some others have meantioned.",Wireless,positive,0,8,laptop
271,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life,negative,57,69,laptop
271,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",background programs,negative,91,110,laptop
1674,All for such a great price.,price,positive,21,26,laptop
